Taxa	Yield	Protein	Heading	Height	TW	NDVI	NDRE1	NWI1	NWI2
HR17044-5	33.00557365	11.85949919	167.3667743	27.17383705	60.74625603	0.424298706	-0.114430691	-0.018903406	0.028053307
HR17044-6	29.00557365	13.65949919	165.3667743	27.17383705	57.54625603	0.394619138	-0.124493311	-0.014020574	0.034684131
HR17044-8W	41.00557365	12.25949919	165.3667743	25.17383705	57.94625603	0.479264914	-0.087963485	-0.035939266	0.012572831
HR17044-9W	35.00557365	15.45949919	165.3667743	23.17383705	60.34625603	0.472132188	-0.088913117	-0.033507896	0.015869801
HR17045-1	23.00557365	15.45949919	165.3667743	19.17383705	54.54625603	0.481542374	-0.089647659	-0.034590592	0.017928353
HR17045-10	33.00557365	13.45949919	167.3667743	29.17383705	55.54625603	0.481481448	-0.099065509	-0.03820095	0.003221847
HR17045-11	39.00557365	12.65949919	163.3667743	33.17383705	58.14625603	0.478299406	-0.095919485	-0.037117878	0.009418767
HR17045-2	35.00557365	12.85949919	163.3667743	25.17383705	60.54625603	0.466512692	-0.098021983	-0.039054728	0.007315801
HR17045-3	35.00557365	14.65949919	169.3667743	27.17383705	58.54625603	0.472158986	-0.097457203	-0.033153766	0.013271031
HR17045-4	33.00557365	13.05949919	157.3667743	23.17383705	57.14625603	0.47163046	-0.092678333	-0.032585682	0.015361323
HR17045-5	33.00557365	12.05949919	161.3667743	31.17383705	57.94625603	0.507467704	-0.081157991	-0.043054922	0.004638333
HR17045-6	33.00557365	13.25949919	161.3667743	27.17383705	57.94625603	0.518060352	-0.070751417	-0.049233464	-0.001591371
HR17045-7	27.00557365	14.65949919	167.3667743	33.17383705	55.54625603	0.539350346	-0.063613039	-0.0574172	-0.004378081
HR17045-8	33.00557365	14.45949919	169.3667743	27.17383705	61.74625603	0.511752994	-0.080470057	-0.049109366	-0.002848033
HR17045-9	35.00557365	12.45949919	165.3667743	27.17383705	60.74625603	0.495866788	-0.088743539	-0.044535252	0.002047155
HR17046-1	31.00557365	13.05949919	165.3667743	27.17383705	61.14625603	0.45032027	-0.107176565	-0.028772518	0.016147275
HR17046-10	46.57680316	13.43951707	163.4251038	24.95334287	62.38031831	0.467089064	-0.083297397	-0.033634989	0.021422711
HR17046-11	42.57680316	13.03951707	163.4251038	26.95334287	58.38031831	0.494718736	-0.084920799	-0.044328093	0.005861063
HR17046-12	42.57680316	11.83951707	163.4251038	26.95334287	60.18031831	0.498466096	-0.080527363	-0.047074905	0.002037401
HR17046-13	42.57680316	13.83951707	163.4251038	28.95334287	60.58031831	0.524916864	-0.077008625	-0.052539507	-0.004247451
HR17046-2W	33.00557365	13.25949919	165.3667743	27.17383705	61.34625603	0.45646402	-0.100005661	-0.031327646	0.013235055
HR17046-3	31.00557365	11.65949919	163.3667743	31.17383705	60.34625603	0.461814152	-0.097489921	-0.033325132	0.011188521
HR17046-4	39.00557365	14.25949919	167.3667743	27.17383705	61.54625603	0.473386728	-0.093083215	-0.03976583	0.007596471
HR17046-5	51.00557365	12.65949919	163.3667743	25.17383705	60.94625603	0.505041978	-0.077165681	-0.048372392	0.006475577
HR17046-6	45.00557365	14.85949919	169.3667743	25.17383705	57.74625603	0.509758076	-0.073201261	-0.053207882	-0.001022171
HR17046-7	48.57680316	13.63951707	167.4251038	22.95334287	61.18031831	0.52976322	-0.068107207	-0.049593653	0.003605371
